"Symbol","logFC","logCPM","F","PValue","FDR"
"SSTR2",-3.26315103423662,4.72280686157277,220.051605946394,4.20114718171941e-07,0.00221608335772108
"ZFP62",-2.69824515025377,3.88087663928663,192.315294612491,7.07148803398629e-07,0.00221608335772108
"ZSCAN26",-3.61942470620852,2.60380276294728,187.834910805843,7.74408897273449e-07,0.00221608335772108
"EGR1",4.86142886932674,9.40101780507528,185.237209097898,8.17082921099712e-07,0.00221608335772108
"RBM15",2.27594660155274,6.34811405667075,180.125202255114,9.10003195698904e-07,0.00221608335772108
"IP6K1",-2.20866673807477,5.19419048934288,167.012666633542,1.21653702046014e-06,0.00221608335772108
"WBP1L",-2.30378843038306,5.04581763747095,166.209051883891,1.23924831561129e-06,0.00221608335772108
"HMG20A",-2.03219424790788,5.21747833739602,154.023216063811,1.658650584811e-06,0.00221608335772108
"GLI2",-2.2559318930261,5.2678238879413,149.255315444191,1.87030797759714e-06,0.00221608335772108
"SLC30A1",2.61556619569214,8.22025976356712,138.220722546868,2.50607704339589e-06,0.00221608335772108
"KNSTRN",-1.98818102234334,5.0781430781457,137.824101157096,2.53361081825509e-06,0.00221608335772108
"CASP8AP2",-2.46867771420379,3.92959853551341,136.824349546424,2.60471112711022e-06,0.00221608335772108
"N4BP1",-2.37489260470542,4.33875351784701,136.21207845021,2.64948807807113e-06,0.00221608335772108
"SNAI2",2.82081983527724,5.58091550038233,136.122302441683,2.65613427275114e-06,0.00221608335772108
"SDR42E1",-2.41203848898225,4.10865007373013,135.739607958937,2.68470035322513e-06,0.00221608335772108
"MEOX1",-4.29840052838249,1.63348592960137,133.810360755534,2.83470212669266e-06,0.00221608335772108
"BHLHE41",-2.80480707298679,5.21685797864309,133.601610172035,2.85155421477683e-06,0.00221608335772108
"SIK2",-2.4156656611118,4.568057425086,131.647591903505,3.01553526148922e-06,0.00221608335772108
"KLF2",3.1670649278549,2.46320085333896,120.125722554796,4.26474223809711e-06,0.00280703099007268
"CNTF",3.58950685435904,2.70386043473276,119.643386914315,4.33000081454456e-06,0.00280703099007268
"TSHZ1",-2.42746428637806,3.75427092751181,117.008752664087,4.70935428318532e-06,0.00280703099007268
"PIM1",2.78946360165709,6.86937383678079,116.249365319937,4.82634085856661e-06,0.00280703099007268
"AVL9",-1.98862027521777,5.22783174259136,115.208763034918,4.99261396126775e-06,0.00280703099007268
"MSL2",2.2221922251895,6.46837389980091,114.601917024432,5.09288961005021e-06,0.00280703099007268
"FOXC1",3.01716976628411,5.46235295719037,112.827801485905,5.40084355037568e-06,0.00285769433937478
"VANGL1",-2.00121672448259,5.47921831802877,110.52032382093,5.83706502359393e-06,0.00296971908200386
"DTX3L",-2.21784140576409,5.15979779252478,107.555707385509,6.46425928074513e-06,0.00301732373366018
"LMCD1",-2.05956521725537,4.67243021773713,106.943826442593,6.60403888484309e-06,0.00301732373366018
"TNFAIP8L1",-1.68803135312412,4.54024813438986,106.896801064913,6.61493712399042e-06,0.00301732373366018
"APPBP2",-1.74742211668819,5.7184919372985,104.150167501729,7.29242627954857e-06,0.00315445506168402
"RAB36",-2.30648135906964,2.70472705183109,103.771510600132,7.39250883823741e-06,0.00315445506168402
"KIF2A",-1.52072560292989,5.84064035999396,100.189066195596,8.429864740902e-06,0.00319189227940005
"PSRC1",-1.65460840373868,4.82034031428875,100.018864477167,8.48354194419209e-06,0.00319189227940005
"ZMYM1",-2.35018724795944,4.02717889030267,99.3843646463392,8.68745122401719e-06,0.00319189227940005
"IQSEC1",-1.54838847179027,5.31579383603909,98.9559154135065,8.82861486474911e-06,0.00319189227940005
"PIAS1",-1.57226750768645,5.21087850282978,98.710405884008,8.91079742872993e-06,0.00319189227940005
"C17orf80",-1.80196884970778,5.34426681068944,98.6592772533611,8.92803253234064e-06,0.00319189227940005
"BLM",-1.75543510447914,4.93690565744872,97.8891042597007,9.19276628830951e-06,0.00320005032794101
"ZNF561",-2.16249566428224,3.83812682945816,96.6475636727529,9.64052976595982e-06,0.00322459519123883
"PLEKHG1",-2.3623392551218,3.39136494088466,96.3527990266165,9.75081702823959e-06,0.00322459519123883
"CNOT6",-1.56318084306302,5.73525095710692,94.9278140931706,1.03067866950168e-05,0.00331914483799926
"NPAT",-1.82398122136844,4.47570296460162,94.3618641084256,1.05385608705752e-05,0.00331914483799926
"ZNF142",-1.75620309611138,4.46357675738802,92.4195844356334,1.13852145930643e-05,0.00350240973574545
"BHLHE40",2.47511100279157,8.20215273112242,91.1003820567791,1.20091109143687e-05,0.00361037543580159
"TGIF2",-1.90731167713322,4.701145454385,89.3571826233973,1.29005841559127e-05,0.00372576503674212
"DUSP16",-2.16425342020188,4.40165927327762,88.7171463565094,1.32485649547169e-05,0.00372576503674212
"GOLPH3",-1.68468451550309,5.43620010772705,88.5109702561135,1.33631536200874e-05,0.00372576503674212
"CHTF8",-1.38222760638592,6.06698773069055,87.6284892785742,1.38678526973539e-05,0.00372576503674212
"APOL6",-2.56975077344887,3.99666097531165,86.966692598195,1.4262050858428e-05,0.00372576503674212
"KIF18A",-1.49228351832672,5.25433343744026,86.8407522001089,1.4338646703823e-05,0.00372576503674212
"NACC2",-1.74308064444689,4.70477674932425,86.5661080685221,1.45074745381135e-05,0.00372576503674212
"LNX2",-1.96209082735735,2.88504108113678,86.3434254493639,1.46461885327026e-05,0.00372576503674212
"RTKN",-2.75616614103986,3.11631198272375,84.1886276163266,1.60780155019078e-05,0.00397712783994753
"ASXL2",-1.34927048142667,6.17362521738158,83.6198138053389,1.64848537141124e-05,0.00397712783994753
"OPA3",-1.94517380492458,4.54249344750197,83.549151039335,1.65362890230658e-05,0.00397712783994753
"ZNF518B",-1.60041882758615,5.33611646383862,82.5032995986676,1.73215563858137e-05,0.00407647239325255
"ZNF302",-1.5284505623228,4.3148427070453,81.7994580885946,1.787638226842e-05,0.00407647239325255
"ARGLU1",1.34311543703396,6.78207775546233,81.7286328230531,1.79334351454751e-05,0.00407647239325255
"NEIL3",-2.61276395648407,2.9059322323783,81.2287733573576,1.83426350531902e-05,0.00407647239325255
"FBXO34",-2.43159848070071,4.80947094780351,81.0519261303871,1.84901983364948e-05,0.00407647239325255
"HMGXB4",-1.4090920917178,6.75014142555769,80.5100988684437,1.89516402998385e-05,0.00410970980141417
"ZHX2",-3.23275855966511,3.30373836580572,80.0902124290041,1.93191679829753e-05,0.00412183796901286
"EXOSC3",-1.74260697409394,4.4215773465163,79.2401777466256,2.00908923911458e-05,0.00419588292140639
"ZNF672",-2.10854520783153,3.24943401329374,78.5572706602146,2.07389751702834e-05,0.00419588292140639
"SOGA1",-1.73480881810862,5.33796510000315,78.4692299058233,2.08244170529512e-05,0.00419588292140639
"GGA3",-1.9222319225379,4.80509590957963,77.7412391311494,2.15480561904193e-05,0.00419588292140639
"KCTD7",-1.61755812127897,4.07703247370583,77.4859974501894,2.18091966425294e-05,0.00419588292140639
"UMPS",-1.58725572207568,5.2609244468872,77.0737590553967,2.22393743467326e-05,0.00419588292140639
"ZFP64",-1.77823061214894,4.62057963764157,77.071730206257,2.22415175904321e-05,0.00419588292140639
"USP54",-1.57977367690064,5.25654446922863,76.8073866780153,2.25229884044087e-05,0.00419588292140639
"ZNF609",-1.75972944509274,6.40288282533276,76.6605578262814,2.26812549976279e-05,0.00419588292140639
"NANP",-1.48805476526111,4.2054662203385,76.5162241615208,2.28381894724267e-05,0.00419588292140639
"DHX32",-2.61807739629384,3.92180411250597,75.2213647603367,2.4308638958681e-05,0.00421567946130159
